,Steps,Extra Steps,Close Sniff Rate,Far Sniff Rate,Surge Sniff Rate,Cast Sniff Rate
94,555,315.0,0.07228915662650602,0.12459016393442623,0.09210526315789473,0.23943661971830985
95,457,217.0,0.1337579617834395,0.12374581939799331,0.11235955056179775,0.25668449197860965
96,455,215.0,0.0784313725490196,0.12624584717607973,0.08846153846153847,0.23756906077348067
97,446,206.0,0.1095890410958904,0.12374581939799331,0.11481481481481481,0.25139664804469275
98,559,319.0,0.10505836575875487,0.12292358803986711,0.11038961038961038,0.2645739910313901
99,572,332.0,0.08,0.12149532710280374,0.09771986970684039,0.24770642201834864
100,447,192.0,0.03296703296703297,0.11830985915492957,0.08139534883720931,0.22395833333333334
101,455,200.0,0.030303030303030304,0.11830985915492957,0.08203125,0.2131979695431472
102,465,210.0,0.0297029702970297,0.12121212121212122,0.08461538461538462,0.2087378640776699
103,469,214.0,0.03636363636363636,0.12011173184357542,0.08203125,0.21212121212121213
104,462,207.0,0.07547169811320754,0.11830985915492957,0.08461538461538462,0.23039215686274508
105,471,216.0,0.11304347826086956,0.11830985915492957,0.10566037735849057,0.23267326732673269
106,460,205.0,0.07692307692307693,0.11830985915492957,0.09923664122137404,0.23267326732673269
107,448,193.0,0.021739130434782608,0.11830985915492957,0.078125,0.2198952879581152
108,446,191.0,0.022222222222222223,0.11830985915492957,0.08139534883720931,0.21578947368421053
109,455,200.0,0.0707070707070707,0.11830985915492957,0.09615384615384616,0.23076923076923078
110,454,199.0,0.10204081632653061,0.11830985915492957,0.10227272727272728,0.23834196891191708
111,446,191.0,0.022222222222222223,0.11830985915492957,0.08139534883720931,0.21578947368421053
112,452,197.0,0.08333333333333333,0.11830985915492957,0.09541984732824428,0.234375
113,452,197.0,0.08333333333333333,0.11830985915492957,0.09541984732824428,0.22395833333333334
114,465,210.0,0.0297029702970297,0.12121212121212122,0.08461538461538462,0.2087378640776699
115,447,192.0,0.03296703296703297,0.11830985915492957,0.08139534883720931,0.2198952879581152
116,452,197.0,0.08333333333333333,0.11830985915492957,0.09541984732824428,0.23157894736842105
117,468,213.0,0.038461538461538464,0.12121212121212122,0.08846153846153847,0.2087378640776699
118,462,207.0,0.05825242718446602,0.11731843575418995,0.0946969696969697,0.2193877551020408
119,450,195.0,0.06382978723404255,0.11830985915492957,0.08846153846153847,0.234375
120,462,207.0,0.07547169811320754,0.11830985915492957,0.09615384615384616,0.2315270935960591
121,451,196.0,0.07368421052631578,0.11830985915492957,0.09266409266409266,0.23157894736842105
122,596,341.0,0.09352517985611511,0.10307017543859649,0.08940397350993377,0.2230769230769231
123,460,205.0,0.0297029702970297,0.12011173184357542,0.08396946564885496,0.2153846153846154
124,466,211.0,0.0594059405940594,0.13186813186813187,0.1018867924528302,0.24875621890547264
125,450,195.0,0.06382978723404255,0.11830985915492957,0.08846153846153847,0.23157894736842105
126,460,205.0,0.07692307692307693,0.11830985915492957,0.09578544061302682,0.23267326732673269
127,464,209.0,0.09259259259259259,0.11830985915492957,0.09578544061302682,0.23557692307692307
128,460,205.0,0.07692307692307693,0.11830985915492957,0.09578544061302682,0.22885572139303484
129,446,191.0,0.022222222222222223,0.11830985915492957,0.08139534883720931,0.21578947368421053
130,446,191.0,0.022222222222222223,0.11830985915492957,0.08139534883720931,0.21578947368421053
131,447,192.0,0.03296703296703297,0.11830985915492957,0.08203125,0.22105263157894736
132,595,340.0,0.10144927536231885,0.10307017543859649,0.09271523178807947,0.2222222222222222
133,594,339.0,0.0948905109489051,0.10307017543859649,0.08970099667774087,0.2222222222222222
134,458,203.0,0.058823529411764705,0.11830985915492957,0.08846153846153847,0.22
135,459,204.0,0.061224489795918366,0.11944444444444445,0.0888030888030888,0.23316062176165803
136,459,204.0,0.04854368932038835,0.11830985915492957,0.078125,0.22167487684729065
137,454,199.0,0.061224489795918366,0.11830985915492957,0.08914728682170543,0.23157894736842105
138,451,196.0,0.07368421052631578,0.11830985915492957,0.08846153846153847,0.22797927461139897
139,452,197.0,0.08333333333333333,0.11830985915492957,0.09541984732824428,0.23157894736842105
140,448,193.0,0.043478260869565216,0.11830985915492957,0.08139534883720931,0.2275132275132275
141,448,193.0,0.043478260869565216,0.11830985915492957,0.08494208494208494,0.22395833333333334
142,451,196.0,0.031578947368421054,0.11830985915492957,0.08527131782945736,0.21578947368421053
143,455,200.0,0.0707070707070707,0.11830985915492957,0.09848484848484848,0.22959183673469388
144,449,194.0,0.053763440860215055,0.11830985915492957,0.08494208494208494,0.23157894736842105
145,448,193.0,0.043478260869565216,0.11830985915492957,0.08171206225680934,0.2275132275132275
146,455,200.0,0.041237113402061855,0.12044817927170869,0.08812260536398467,0.21578947368421053
147,447,192.0,0.03296703296703297,0.11830985915492957,0.08494208494208494,0.21693121693121692
148,455,200.0,0.0707070707070707,0.11830985915492957,0.09541984732824428,0.22959183673469388
149,470,215.0,0.04672897196261682,0.11878453038674033,0.08045977011494253,0.23076923076923078
150,594,339.0,0.0948905109489051,0.10307017543859649,0.08970099667774087,0.2222222222222222
151,464,209.0,0.09259259259259259,0.11830985915492957,0.09961685823754789,0.2403846153846154
152,451,196.0,0.05263157894736842,0.11830985915492957,0.08494208494208494,0.22797927461139897
153,451,196.0,0.031578947368421054,0.11830985915492957,0.08139534883720931,0.21761658031088082
154,455,200.0,0.030303030303030304,0.11830985915492957,0.08494208494208494,0.21578947368421053
155,478,223.0,0.09734513274336283,0.12912087912087913,0.11654135338345864,0.2403846153846154
156,452,197.0,0.08333333333333333,0.11830985915492957,0.09541984732824428,0.23834196891191708
157,461,206.0,0.06666666666666667,0.11830985915492957,0.0842911877394636,0.2358974358974359
158,453,198.0,0.07216494845360824,0.11830985915492957,0.09961685823754789,0.21578947368421053
159,478,223.0,0.08771929824561403,0.11570247933884298,0.1018867924528302,0.22966507177033493
160,453,198.0,0.03225806451612903,0.12256267409470752,0.08812260536398467,0.22279792746113988
161,452,197.0,0.08333333333333333,0.11830985915492957,0.09541984732824428,0.23157894736842105
162,453,198.0,0.09278350515463918,0.11830985915492957,0.09885931558935361,0.23834196891191708
163,465,210.0,0.0297029702970297,0.12121212121212122,0.08461538461538462,0.2087378640776699
164,455,200.0,0.0625,0.12011173184357542,0.09195402298850575,0.23157894736842105
165,454,199.0,0.061224489795918366,0.11830985915492957,0.08949416342412451,0.22395833333333334
166,449,194.0,0.053763440860215055,0.11830985915492957,0.08846153846153847,0.2198952879581152
167,452,197.0,0.08333333333333333,0.11830985915492957,0.09578544061302682,0.24615384615384617
168,456,201.0,0.031578947368421054,0.125,0.0916030534351145,0.23195876288659795
169,448,193.0,0.043478260869565216,0.11830985915492957,0.08171206225680934,0.2275132275132275
170,472,217.0,0.037037037037037035,0.12121212121212122,0.0842911877394636,0.2087378640776699
171,451,196.0,0.07368421052631578,0.11830985915492957,0.09195402298850575,0.24102564102564103
172,478,223.0,0.09836065573770492,0.11830985915492957,0.09615384615384616,0.23039215686274508
173,450,195.0,0.06382978723404255,0.11830985915492957,0.08846153846153847,0.234375
174,459,204.0,0.04854368932038835,0.11830985915492957,0.08494208494208494,0.22167487684729065
175,456,201.0,0.04,0.11830985915492957,0.08171206225680934,0.22110552763819097
176,447,192.0,0.03296703296703297,0.11830985915492957,0.07782101167315175,0.22395833333333334
177,456,201.0,0.08,0.11830985915492957,0.09652509652509653,0.23157894736842105
178,467,212.0,0.04,0.12295081967213115,0.08812260536398467,0.233502538071066
179,452,197.0,0.03296703296703297,0.11944444444444445,0.08076923076923077,0.22105263157894736
180,482,227.0,0.07936507936507936,0.11830985915492957,0.09090909090909091,0.22660098522167488
181,594,339.0,0.0948905109489051,0.10307017543859649,0.08970099667774087,0.2222222222222222
182,448,193.0,0.043478260869565216,0.11830985915492957,0.08139534883720931,0.22395833333333334
183,470,215.0,0.0660377358490566,0.12396694214876033,0.09195402298850575,0.24
184,451,196.0,0.07368421052631578,0.11830985915492957,0.09195402298850575,0.234375
185,449,194.0,0.053763440860215055,0.11830985915492957,0.08494208494208494,0.22395833333333334
186,450,195.0,0.0425531914893617,0.11830985915492957,0.08139534883720931,0.22395833333333334
187,450,195.0,0.06382978723404255,0.11830985915492957,0.08527131782945736,0.23316062176165803
188,464,209.0,0.1111111111111111,0.11830985915492957,0.10984848484848485,0.24509803921568626
189,454,199.0,0.061224489795918366,0.11830985915492957,0.0888030888030888,0.22459893048128343
190,447,192.0,0.03296703296703297,0.11830985915492957,0.08139534883720931,0.2198952879581152
191,451,196.0,0.07368421052631578,0.11830985915492957,0.09195402298850575,0.234375
192,451,196.0,0.07368421052631578,0.11830985915492957,0.09195402298850575,0.234375
193,460,205.0,0.07692307692307693,0.11830985915492957,0.09230769230769231,0.22797927461139897
194,473,218.0,0.07894736842105263,0.11731843575418995,0.09923664122137404,0.23222748815165878
195,594,339.0,0.0948905109489051,0.10307017543859649,0.08970099667774087,0.2222222222222222
196,458,203.0,0.0707070707070707,0.12011173184357542,0.09811320754716982,0.2358974358974359
197,460,205.0,0.07692307692307693,0.11830985915492957,0.09923664122137404,0.23267326732673269
198,451,196.0,0.07368421052631578,0.11830985915492957,0.08494208494208494,0.23195876288659795
199,465,210.0,0.10091743119266056,0.11830985915492957,0.10566037735849057,0.23786407766990292
200,422,167.0,0.03816793893129771,0.12758620689655173,0.08203125,0.2229299363057325
201,427,172.0,0.04411764705882353,0.12758620689655173,0.08139534883720931,0.2215568862275449
202,431,176.0,0.05714285714285714,0.12758620689655173,0.09230769230769231,0.2411764705882353
203,431,176.0,0.02857142857142857,0.12758620689655173,0.07450980392156863,0.225
204,449,194.0,0.04895104895104895,0.1377049180327869,0.08712121212121213,0.24043715846994534
