,y,x,min_steps,steps_taken,is_done,extra_steps,t_min_over_t
46,0,10,20,601,False,581,0.033277870216306155
47,5,10,15,601,False,586,0.024958402662229616
48,10,10,10,601,False,591,0.016638935108153077
49,15,10,5,601,False,596,0.008319467554076539
50,20,10,10,601,False,591,0.016638935108153077
51,25,10,15,601,False,586,0.024958402662229616
52,30,10,20,601,False,581,0.033277870216306155
53,35,10,25,601,False,576,0.04159733777038269
54,40,10,30,601,False,571,0.04991680532445923
55,45,10,35,601,False,566,0.05823627287853577
56,50,10,40,236,True,196,0.1694915254237288
57,55,10,45,601,False,556,0.07487520798668885
58,60,10,50,601,False,551,0.08319467554076539
59,65,10,55,601,False,546,0.09151414309484193
60,70,10,60,601,False,541,0.09983361064891846
61,75,10,65,601,False,536,0.10815307820299501
62,80,10,70,601,False,531,0.11647254575707154
63,85,10,75,601,False,526,0.12479201331114809
64,90,10,80,601,False,521,0.13311148086522462
65,95,10,85,601,False,516,0.14143094841930118
66,100,10,90,601,False,511,0.1497504159733777
67,105,10,95,601,False,506,0.15806988352745424
68,110,10,100,601,False,501,0.16638935108153077
69,0,15,15,601,False,586,0.024958402662229616
70,5,15,10,601,False,591,0.016638935108153077
71,10,15,5,601,False,596,0.008319467554076539
72,15,15,0,601,False,601,0.0
73,20,15,5,601,False,596,0.008319467554076539
74,25,15,10,601,False,591,0.016638935108153077
75,30,15,15,601,False,586,0.024958402662229616
76,35,15,20,601,False,581,0.033277870216306155
77,40,15,25,601,False,576,0.04159733777038269
78,45,15,30,601,False,571,0.04991680532445923
79,50,15,35,601,False,566,0.05823627287853577
80,55,15,40,601,False,561,0.06655574043261231
81,60,15,45,601,False,556,0.07487520798668885
82,65,15,50,601,False,551,0.08319467554076539
83,70,15,55,601,False,546,0.09151414309484193
84,75,15,60,601,False,541,0.09983361064891846
85,80,15,65,601,False,536,0.10815307820299501
86,85,15,70,601,False,531,0.11647254575707154
87,90,15,75,601,False,526,0.12479201331114809
88,95,15,80,601,False,521,0.13311148086522462
89,100,15,85,601,False,516,0.14143094841930118
90,105,15,90,601,False,511,0.1497504159733777
91,110,15,95,601,False,506,0.15806988352745424
92,0,20,20,601,False,581,0.033277870216306155
93,5,20,15,601,False,586,0.024958402662229616
94,10,20,10,601,False,591,0.016638935108153077
95,15,20,5,601,False,596,0.008319467554076539
96,20,20,10,601,False,591,0.016638935108153077
97,25,20,15,601,False,586,0.024958402662229616
98,30,20,20,601,False,581,0.033277870216306155
99,35,20,25,601,False,576,0.04159733777038269
100,40,20,30,601,False,571,0.04991680532445923
101,45,20,35,601,False,566,0.05823627287853577
102,50,20,40,601,False,561,0.06655574043261231
103,55,20,45,601,False,556,0.07487520798668885
104,60,20,50,601,False,551,0.08319467554076539
105,65,20,55,601,False,546,0.09151414309484193
106,70,20,60,601,False,541,0.09983361064891846
107,75,20,65,601,False,536,0.10815307820299501
108,80,20,70,601,False,531,0.11647254575707154
109,85,20,75,601,False,526,0.12479201331114809
110,90,20,80,601,False,521,0.13311148086522462
111,95,20,85,601,False,516,0.14143094841930118
112,100,20,90,601,False,511,0.1497504159733777
113,105,20,95,601,False,506,0.15806988352745424
114,110,20,100,601,False,501,0.16638935108153077
115,0,25,25,601,False,576,0.04159733777038269
116,5,25,20,601,False,581,0.033277870216306155
117,10,25,15,601,False,586,0.024958402662229616
118,15,25,10,601,False,591,0.016638935108153077
119,20,25,15,601,False,586,0.024958402662229616
120,25,25,20,601,False,581,0.033277870216306155
121,30,25,25,601,False,576,0.04159733777038269
122,35,25,30,601,False,571,0.04991680532445923
123,40,25,35,601,False,566,0.05823627287853577
124,45,25,40,601,False,561,0.06655574043261231
125,50,25,45,601,False,556,0.07487520798668885
126,55,25,50,601,False,551,0.08319467554076539
127,60,25,55,601,False,546,0.09151414309484193
128,65,25,60,601,False,541,0.09983361064891846
129,70,25,65,601,False,536,0.10815307820299501
130,75,25,70,601,False,531,0.11647254575707154
131,80,25,75,601,False,526,0.12479201331114809
132,85,25,80,601,False,521,0.13311148086522462
133,90,25,85,601,False,516,0.14143094841930118
134,95,25,90,601,False,511,0.1497504159733777
135,100,25,95,601,False,506,0.15806988352745424
136,105,25,100,601,False,501,0.16638935108153077
137,110,25,105,601,False,496,0.17470881863560733
138,0,30,30,601,False,571,0.04991680532445923
139,5,30,25,601,False,576,0.04159733777038269
140,10,30,20,601,False,581,0.033277870216306155
141,15,30,15,601,False,586,0.024958402662229616
142,20,30,20,601,False,581,0.033277870216306155
143,25,30,25,601,False,576,0.04159733777038269
144,30,30,30,601,False,571,0.04991680532445923
145,35,30,35,601,False,566,0.05823627287853577
146,40,30,40,601,False,561,0.06655574043261231
147,45,30,45,601,False,556,0.07487520798668885
148,50,30,50,601,False,551,0.08319467554076539
149,55,30,55,601,False,546,0.09151414309484193
150,60,30,60,601,False,541,0.09983361064891846
151,65,30,65,601,False,536,0.10815307820299501
152,70,30,70,601,False,531,0.11647254575707154
153,75,30,75,601,False,526,0.12479201331114809
154,80,30,80,601,False,521,0.13311148086522462
155,85,30,85,601,False,516,0.14143094841930118
156,90,30,90,601,False,511,0.1497504159733777
157,95,30,95,601,False,506,0.15806988352745424
158,100,30,100,601,False,501,0.16638935108153077
159,105,30,105,601,False,496,0.17470881863560733
160,110,30,110,601,False,491,0.18302828618968386
161,0,35,35,601,False,566,0.05823627287853577
162,5,35,30,601,False,571,0.04991680532445923
163,10,35,25,601,False,576,0.04159733777038269
164,15,35,20,601,False,581,0.033277870216306155
165,20,35,25,601,False,576,0.04159733777038269
166,25,35,30,601,False,571,0.04991680532445923
167,30,35,35,601,False,566,0.05823627287853577
168,35,35,40,601,False,561,0.06655574043261231
169,40,35,45,601,False,556,0.07487520798668885
170,45,35,50,601,False,551,0.08319467554076539
171,50,35,55,601,False,546,0.09151414309484193
172,55,35,60,601,False,541,0.09983361064891846
173,60,35,65,601,False,536,0.10815307820299501
174,65,35,70,601,False,531,0.11647254575707154
175,70,35,75,601,False,526,0.12479201331114809
176,75,35,80,601,False,521,0.13311148086522462
177,80,35,85,601,False,516,0.14143094841930118
178,85,35,90,601,False,511,0.1497504159733777
179,90,35,95,601,False,506,0.15806988352745424
180,95,35,100,601,False,501,0.16638935108153077
181,100,35,105,601,False,496,0.17470881863560733
182,105,35,110,601,False,491,0.18302828618968386
183,110,35,115,601,False,486,0.1913477537437604
184,0,40,40,601,False,561,0.06655574043261231
185,5,40,35,601,False,566,0.05823627287853577
186,10,40,30,601,False,571,0.04991680532445923
187,15,40,25,601,False,576,0.04159733777038269
188,20,40,30,601,False,571,0.04991680532445923
189,25,40,35,601,False,566,0.05823627287853577
190,30,40,40,601,False,561,0.06655574043261231
191,35,40,45,601,False,556,0.07487520798668885
192,40,40,50,601,False,551,0.08319467554076539
193,45,40,55,601,False,546,0.09151414309484193
194,50,40,60,601,False,541,0.09983361064891846
195,55,40,65,601,False,536,0.10815307820299501
196,60,40,70,601,False,531,0.11647254575707154
197,65,40,75,601,False,526,0.12479201331114809
